,name,class,text
0,JNECare,1,"Mohon maaf atas ketidaknyamanan yg dialami, Bisa info no. resinya kak agar admin cek statusnya. Thanks ^Aily"
1,SIRESHOWNU,1,"Telkomsel: ikeq_drono Terima kasih untuk  data yg diberikanTerkait keluhan tarif TM tidak sesuai, saya bantu cek kembali. Mohon ditunggu. T…"
2,SIRESHOWNU,1,Telkomsel: ikeq_drono  Baik. Mas Eko. Mohon kesediannya untuk menunggu konfirmasi selanjutnya via DM. Tks. -Hime
3,zkdlkjin,1,"Telkomsel: ikeq_drono Terima kasih untuk  data yg diberikanTerkait keluhan tarif TM tidak sesuai, saya bantu cek kembali. Mohon ditunggu. T…"
4,zkdlkjin,1,Telkomsel: ikeq_drono  Baik. Mas Eko. Mohon kesediannya untuk menunggu konfirmasi selanjutnya via DM. Tks. -Hime
5,xoyeoI,1,"Telkomsel+ikeq_drono Terima kasih untuk  data yg diberikanTerkait keluhan tarif TM tidak sesuai, saya bantu cek kembali. Mohon ditunggu. TK…"
6,zkdlkjin,1,"Telkomsel: ikeq_drono [1] Terima kasih untuk nomor yg diberikan. Mohon maaf, mengenai keluhan tarif TM tidak sesuai, saya cek nomor 0813112…"
7,xoyeoI,1,Telkomsel+ikeq_drono  Baik. Mas Eko. Mohon kesediannya untuk menunggu konfirmasi selanjutnya via DM. Tks. -Hime
8,yeorwu,1,"Telkomsel: ikeq_drono Terima kasih untuk  data yg diberikanTerkait keluhan tarif TM tidak sesuai, saya bantu cek kembali. Mohon ditunggu. T…"
9,canyolmu,1,"TokopediaCare: gengso Hai Sugeng, maaf atas keterlambatan kami dalam membalas pesan kamu. Guna pengecekan kami, mohon cek DM Twitter kamu. …"
10,yeorwu,1,Telkomsel: ikeq_drono  Baik. Mas Eko. Mohon kesediannya untuk menunggu konfirmasi selanjutnya via DM. Tks. -Hime
11,HansuroShop,1,"saya sdh mnghubungi pihak gosend. Bahwa nomor tiket GK 42850 yg sy dapat tidak valid, harusnya 8 angka. Mohon bantuannya"
12,cutcutieee,1,"Telkomsel: ikeq_drono Terima kasih untuk  data yg diberikanTerkait keluhan tarif TM tidak sesuai, saya bantu cek kembali. Mohon ditunggu. T…"
13,cutcutieee,1,Telkomsel: ikeq_drono  Baik. Mas Eko. Mohon kesediannya untuk menunggu konfirmasi selanjutnya via DM. Tks. -Hime
14,fIowerbIossom,1,Mboty_ Jika msh dgn respon yg sama Kami sarankan utk uninstal & install ulang namun inbox akan hilang Ibu Ellysa & mohon (cont)01 ^Cepy
15,minhobundle,1,"Telkomsel: ikeq_drono Terima kasih untuk  data yg diberikanTerkait keluhan tarif TM tidak sesuai, saya bantu cek kembali. Mohon ditunggu. T…"
16,minhobundle,1,Telkomsel: ikeq_drono  Baik. Mas Eko. Mohon kesediannya untuk menunggu konfirmasi selanjutnya via DM. Tks. -Hime
17,yojacute,1,"myXLCare: mkozama Hi Kak Komaruzaman, mohon maaf. mohon di tunggu update laporannya ya . thx ^RV"
18,JPumadada,1,"Selamat pagi, saya mau tanya kenapa akses Kemenkuham untuk registrasi CPNS sulit ya diakses? Mohon petunjuk"
19,chnyeolm,1,"myXLCare: mkozama Hi Kak Komaruzaman, mohon maaf. mohon di tunggu update laporannya ya . thx ^RV"
20,DeguireFanClub,1,@r_deguire1 such a high class individual. Goes as far as to FaceTime @D_payton518 to watch mohon football. Never forget your roots. pic.twitter.com/lTrFQjQH0T
21,kmvibts,1,"myXLCare: mkozama Hi Kak Komaruzaman, mohon maaf. mohon di tunggu update laporannya ya . thx ^RV"
22,stobeIy,1,"myXLCare: mkozama Hi Kak Komaruzaman, mohon maaf. mohon di tunggu update laporannya ya . thx ^RV"
23,SantosoTegoeh,1,Pak... Itu tolong majunya disegerakan Pak 
24,BARRBPLVN,1,Telkomsel: biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih da…
25,johrnynct,1,Telkomsel: biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih da…
26,pitsahut,1,Telkomsel: biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih da…
27,baejinyougr,1,Telkomsel: biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih da…
28,GIMHANBEIN,1,"mkozama Hi Kak Komaruzaman, mohon maaf. mohon di tunggu update laporannya ya . thx ^RV"
29,yerivelved,1,Telkomsel: biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih da…
30,jovukert,1,"biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih dahulu, lalu"
31,Pcyycoganrp,1,Telkomsel: biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih da…
32,89JessicaGG_,1,"Sica #OpenFollow tolong ya RT gw masih pengen punya temen,yg di TL liat bantu RT ya..Gomawo^^"
33,KillerBee_IND,1,“Jadi tolong diingat kalau hidupmu bukan cuma untuk dirimu saja.” (Neji)
34,yulizya,1,"@Kemenkumham_RI pak tolong kenapa ga keluar², bagaimana caranya? Tolong sgt pak perbaiki lamannya, uda sampe situ ga keluar² nmr antriannya pic.twitter.com/gW5TsHnyIH"
35,sejeoqn,1,"myXLCare: mkozama Hi Kak Komaruzaman, mohon maaf. mohon di tunggu update laporannya ya . thx ^RV"
36,rlnamjakr,1,"biji_jagung [1] Hai. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan sinyal lemah. Silakan restart HP terlebih dahulu, lalu"
37,gaejuxri,1,SQFAV0RS: #ftl haii sayang......tolong vote KDYI0I ya  https://twitter.com/RAWIOI/status/746318289609973760 …
38,jexonjk,1,"ONRPE: #ON misi~tolong bantu vote ""sejunqsi"" nde>< maaciiw^^ https://twitter.com/RAWIOI/status/746319299749437440?s=06 …"
39,mcinju,1,"ONRPE: #ON misi~tolong bantu vote ""sejunqsi"" nde>< maaciiw^^ https://twitter.com/RAWIOI/status/746319299749437440?s=06 …"
40,ahyummm,1,tolong memang nak tolong. Tapi nak lepaskan bayar kereta aku dulu 
41,inimulchar,1,"#ON misi~tolong bantu vote ""sejunqsi"" nde>< maaciiw^^ https://twitter.com/RAWIOI/status/746319299749437440?s=06 …"
42,inimulchar,1,#ftl haii sayang......tolong vote KDYI0I ya  https://twitter.com/RAWIOI/status/746318289609973760 …
43,wahyuahu48,1,"@LazadaID mohon konfirmasi nya pesanan dengan nomer order 329899118 kok belum nyampek"" yaa?"
44,kidxgurls,1,"#ON misi~tolong bantu vote ""sejunqsi"" nde>< maaciiw^^ https://twitter.com/RAWIOI/status/746319299749437440?s=06 …"
45,chicstaa,1,"#ON misi~tolong bantu vote ""sejunqsi"" nde>< maaciiw^^ https://twitter.com/RAWIOI/status/746319299749437440?s=06 …"
