class,text
0,4678. KEBIJAKAN IMAM (PEMERINTAH) ITU ATAS DASAR KEMASLAHATAN: PERTANYAAN :Mohon penjelasan mengenai maslahah ... http://bit.ly/22e8rXC 
0,"@jokowi OK, Kami jg bangga. Tolong olahraga lain jg di perhatikan, Bgmn nasib PSSI? pemerintah jgn byk intervensi yg hrsnya di bina"
0,@jokowi tolong di perhatikan y pak atlet-atlet kita karena mereka sudah membela negara dlm bdg olahraga-selamat untuk semua
1,"@jokowi Pak masukan saja, tolong kesejahteraan para atlet indonesia lebih diperhatikan lagi agar lebih semangat utk para atlet kita."
0,"@jokowi: Mohon hati2 buat statement, Pak..
Kesewenangan Israel mana yg Bapak tentang?
Saat mrk dibunuh massal, apa ada yg bela?"
1,"@jokowi pak presiden yth,tolong pak blusukan ke pln wilayah kalsel-teng.kami disini terkena pemadaman bergilir terus dgn alasan bermacam2"
0,@FDM3077 @Shazminzainudin mohon dana presiden la kalau gutu. Aku cedok cakap mak. Duit tabung haji banyak lagi aihh..
0,@detikcom @detikfinance @jokowi kami dan saya khusunya sebagai putra bangsa.. menyampaikan mohon agar ucapan kementan di tindaklanjuti
1,@KEMENPORA_RI @jokowi tolong bapak beri jaminan pensiun untuk mereka (atlet) yang sudah mengharumkan bangsa INDONESIA 
0,"@jokowi #prestasi kami mohon kedepan semakin banyak TV nasional kita membeli hak siar Badminton, tdk hanya beli siaran bola tanpa prestasi"
0,"@jokowi mohon dilihat ya pak, trima kasih pic.twitter.com/hpzXCTeNqL"
0,"@jokowi kami juga mohon dengan hormat pak, segera kembalikan sepakbola dalam negeri kepada rakyat"
1,Tolong pak @jokowi pak @Pak_JK cepat pa cabut pembekuan PSSI
1,@jokowi Banyak atlet bulu tangkis muda yg multi talenta tuk meraih berprestasi internasional mohon Pak @jokowi lebih memperhatikan mereka
1,@jokowi Pak tolong Atlit2 Bulutangkis kita diberi fasilitas Sport Science. Negara2 besar bulutangkis lain sudah ada dari--
1,@KEMENPORA_RI @jokowi Pak tolong Atlit2 Bulutangkis kita diberi fasilitas Sport Science. Negara2 besar bulutangkis lain sudah ada dari--
0,"Om @kurawa tolong di-RT kalo berkenan. Koreksi: bukan ""ngebit"", tapi "" nge-bid"" alias ngga ambil order. Cc: @jokowi pic.twitter.com/yEFNu0aqqR"
0,"Pak jokowi tolong dibuat aturan utk orang china tu gak usah kalau saat dagang pake bhs mandarin, kt orang gk ngerti  https://twitter.com/jokowi/status/708855586943836160 …"
1,"Mohon pemantauan @KPK_RI dan @DivHumasPolri untuk kep yapen,APBD Kepulauan Yapen TA 2016 Rp 1 Triliun Lebih http://bintangpapua.com/~bintangp/index.php/waropen/item/21045-apbd-kepulauan-yapen-ta-2016-rp-1-triliun-lebih … @jokowi"
1,@Jokowi@Kemensetneg.@anang_iskandar.  TOLONG BATALKN HGB DIATAS TNH SY. HGB INI D BUAT DNGN CR MMALSU PETA BLOK PBB. pic.twitter.com/ZGAypvJ6z4
0,"muhari_azdi:  tolong angkat honorer jadi pns, pak jokowi yth  http://goo.gl/LRcKnc "
0,"@jokowi tolong angkat honorer jadi pns, pak jokowi yth"
1,"@SyahidAdnan #Tolong dibaca ya Menteri: Perusahaan kelapa sawit tak bisa usir suku anak dalam -> http://goo.gl/3QitNG 
#KEPOdotGA"
