,name,class,text
0,PissKtb,0,4678. KEBIJAKAN IMAM (PEMERINTAH) ITU ATAS DASAR KEMASLAHATAN: PERTANYAAN :Mohon penjelasan mengenai maslahah ... http://bit.ly/22e8rXC 
1,jarikpodo,0,4678. KEBIJAKAN IMAM (PEMERINTAH) ITU ATAS DASAR KEMASLAHATAN: PERTANYAAN :Mohon penjelasan mengenai maslahah ... http://bit.ly/22e8rXC 
2,AsalPraja,0,4678. KEBIJAKAN IMAM (PEMERINTAH) ITU ATAS DASAR KEMASLAHATAN: PERTANYAAN :Mohon penjelasan mengenai maslahah ... http://bit.ly/22e8rXC 
3,irianto_2901,0,"@jokowi OK, Kami jg bangga. Tolong olahraga lain jg di perhatikan, Bgmn nasib PSSI? pemerintah jgn byk intervensi yg hrsnya di bina"
4,bejo38370992,0,@jokowi tolong di perhatikan y pak atlet-atlet kita karena mereka sudah membela negara dlm bdg olahraga-selamat untuk semua
5,Nuriemich,0,"@jokowi Pak masukan saja, tolong kesejahteraan para atlet indonesia lebih diperhatikan lagi agar lebih semangat utk para atlet kita."
6,abher_apostle,0,"@jokowi: Mohon hati2 buat statement, Pak..
Kesewenangan Israel mana yg Bapak tentang?
Saat mrk dibunuh massal, apa ada yg bela?"
7,dnrforhot,1,"@jokowi pak presiden yth,tolong pak blusukan ke pln wilayah kalsel-teng.kami disini terkena pemadaman bergilir terus dgn alasan bermacam2"
8,AnisssAbdullah,0,@FDM3077 @Shazminzainudin mohon dana presiden la kalau gutu. Aku cedok cakap mak. Duit tabung haji banyak lagi aihh..
9,dino_qs1,0,@detikcom @detikfinance @jokowi kami dan saya khusunya sebagai putra bangsa.. menyampaikan mohon agar ucapan kementan di tindaklanjuti
10,bagasinue,1,@KEMENPORA_RI @jokowi tolong bapak beri jaminan pensiun untuk mereka (atlet) yang sudah mengharumkan bangsa INDONESIA 
11,hello_hollaa,0,"@jokowi #prestasi kami mohon kedepan semakin banyak TV nasional kita membeli hak siar Badminton, tdk hanya beli siaran bola tanpa prestasi"
12,Ilhambhrdn,0,"@jokowi mohon dilihat ya pak, trima kasih pic.twitter.com/hpzXCTeNqL"
13,CahyadiRikky96,0,"@jokowi kami juga mohon dengan hormat pak, segera kembalikan sepakbola dalam negeri kepada rakyat"
14,drewRainna05,1,Tolong pak @jokowi pak @Pak_JK cepat pa cabut pembekuan PSSI
15,SitiKho02193824,1,@jokowi Banyak atlet bulu tangkis muda yg multi talenta tuk meraih berprestasi internasional mohon Pak @jokowi lebih memperhatikan mereka
16,AnggikVet12,1,@jokowi Pak tolong Atlit2 Bulutangkis kita diberi fasilitas Sport Science. Negara2 besar bulutangkis lain sudah ada dari--
17,AnggikVet12,1,@KEMENPORA_RI @jokowi Pak tolong Atlit2 Bulutangkis kita diberi fasilitas Sport Science. Negara2 besar bulutangkis lain sudah ada dari--
18,Imam_piul,0,"Om @kurawa tolong di-RT kalo berkenan. Koreksi: bukan ""ngebit"", tapi "" nge-bid"" alias ngga ambil order. Cc: @jokowi pic.twitter.com/yEFNu0aqqR"
19,fzcemumgut,0,"Pak jokowi tolong dibuat aturan utk orang china tu gak usah kalau saat dagang pake bhs mandarin, kt orang gk ngerti  https://twitter.com/jokowi/status/708855586943836160 …"
20,kotaserui,1,"Mohon pemantauan @KPK_RI dan @DivHumasPolri untuk kep yapen,APBD Kepulauan Yapen TA 2016 Rp 1 Triliun Lebih http://bintangpapua.com/~bintangp/index.php/waropen/item/21045-apbd-kepulauan-yapen-ta-2016-rp-1-triliun-lebih … @jokowi"
21,Anisusanakomang,1,@Jokowi@Kemensetneg.@anang_iskandar.  TOLONG BATALKN HGB DIATAS TNH SY. HGB INI D BUAT DNGN CR MMALSU PETA BLOK PBB. pic.twitter.com/ZGAypvJ6z4
22,landingpagemu,0,"muhari_azdi:  tolong angkat honorer jadi pns, pak jokowi yth  http://goo.gl/LRcKnc "
23,muhari_azdi,0,"@jokowi tolong angkat honorer jadi pns, pak jokowi yth"
24,terbangindah,0,"@SyahidAdnan #Tolong dibaca ya Menteri: Perusahaan kelapa sawit tak bisa usir suku anak dalam -> http://goo.gl/3QitNG 
#KEPOdotGA"
25,bausky,1,@jokowi Presiden RI mhon dibantu nasib rakyatmu tanahnya dipakai Kepolisian RI sdh 64 th unt asrama brimob ciputat. Mohon bantu Bpk Presiden
26,pyanhariz,0,"@Darwisyj_ 
Dalam diam dah jadi presiden badminton. Apa rahsia kejayaan mohon share tips."
27,juwairiyahali21,1,@jokowi @twitter siip pak .... Lanjutkan... Tolong pak ... Perjuangkan nasib honorer k2 yang tidak lulus.... Gmn kelanjutannya....
28,Dearjuna,1,"PLN TOLONG SIH KASIH PENJELASAN KENAPA LISTRIK MATI TRUS? SEHARI BISA 4X, ELEKTRONIK KAMI BS RUSAK BEGINI TRUS #PLNLAMPUNG#@JOKOWI"
29,mu6i_club6ball,0,Assalamualaikum wr wb Bapak Presiden Yth @jokowi kabarnya Dr. Zakir Naik akan datang ke Indonesia. Tolong disiarkan di Tv Nasional ya Pak.
30,arafah98,1,@TelkomCare pak @jokowi  n pak @Pak_JK  masyarakat Internet  sbnrnya sangat menyayangkan mahalnya tarif ini. mohon dengarkan suara kami.
31,DesainKak,0,"@jokowi @imam_nahrawi  pak tolong kuatkan prinsip bapak untuk benahi spk bola indonesia,krn mrka akan meremehkan bpk klo mrka ttep ddlm PSSI"
32,sea9sky9,1,"@jokowi pak Jokowi, tolong bantu penuh rio haryanto agar nama Indonesia bs dibawa saat F1. #DukungRio"
33,riskysph,0,@ganjarpranowo Assallualaikum pak   Ganjar.... mohon responnya..  kenapa masih ada jabatan pemerintah masih ada yang dibatasi oleh umur....
34,DedeChaerani,0,@jokowi Pak tolong Intruksikan kpd seluruh Rakyat Indonesia Untuk berolahraga..
35,savicali,1,Pak @jokowi tolong polisi diperintahin agar tdk tunduk pada tuntutan2 anti-kebebasan. Mosok festival yg isinya diskusi & pameran gak boleh.
36,Lhuta_x,0,Tolong tanyain res. @Restyies @DivHumasPolri @Jhonkosmik @jokowi @pramonoanung
37,wd_alfikre,0,"http://sport.detik.com/read/2016/02/27/192205/3152675/80/bisa-promosikan-indonesia-di-dunia-rio-harus-dibantu …
Mohon mjd prhtian khusus pak @jokowi  ini sbg hrg diri NKRI."
38,NpMulyadi,0,"@Jokowi_dodo_new @Pak_Jokowi_do2 @Pak_JK PAK PRESIDEN, TOLONG TAMBAH & TINGKATKAN KESEJAHTERAAN PARA POLISI ,TUGASNYA BERAT, SALAM SEJAHTERA"
39,AFADSLOW,1,"@jokowi 
Pak presiden jalan di daerah kami tolong perbaiki soalnya pak bupati tak memperhatikan jalan yg rusak di daerah kami , kab cianjur"
40,markaspapanggo,1,Tolong ditindak aksi sara ini Cc @kpu_dki @jokowi @KPU_RI @Yusuf_Mansur @aagym @MardaniAliSera @hnurwahid https://twitter.com/TofaLemon/status/783671628542582786 …
41,black_cloth,1,cc bpk @jokowi @KemenDesa @kempanrb @asmanabnur2016 mohon dibantu http://www.kaskus.co.id/thread/57f358e21a997585568b4567/aneh-bikin-jembatan-terpencil-indonesia-malah-didenda-195-juta/ …
42,jumasim_gs,0,@maspiyungan @KPK_RI @jokowi @safuan45214591 mohon pencerhannya maksd bapak @Fahrihamzahhttps://twitter.com/Fahrihamzah/status/783688664085696512 …
43,marifisnaini,0,"Saya mohon kpai, presiden, atau engkau ya tuhanku, panggil si awk ini dari dunia. Makin gajelas lama2."
44,pimbiecom,0,"Halo Mendikbud, Inikah Buku Pelajaran Yang Layak Untuk Anak Kelas Lima SD ? @PartaiSocmed @jokowi Mohon di bantu
https://goo.gl/geRWzx pic.twitter.com/1QHiCL7Up5"
45,KashafIzahRyBK,0,"Dari pukul 10pm sampai 3am baru balik bilik. Itu pun ada yang tak lengkap juga. Kalau aku tak tolong, tak tidurlah gamaknya presiden tu."
46,endramy44,1,kami tolong dianggap @detikcom @jokowi @DiskominfoMks #savemakassar http://www.tribunnews.com/superskor/2016/09/14/imam-nahrawi-tetap-ingin-kongres-pssi-digelar-di-yogyakarta …
47,lamhotgultom618,1,@hanifdhakiri Yth.Bapak Menteri... Mohon perhatian Bapak... Tks https://twitter.com/itjen_naker/status/782858598095347712 …
48,SeptianiReni1,0,Dan nanti akan kita gunakan langsung sekolah. Saya mohon izin Presiden melibatkan sekolah pakai data pokok pe... http://bit.ly/2dS9UDW 
49,rendrasejati,0,"Setuju dgn bang @fahrihamzah

Fahri Hamzah: 'Mohon maaf ya,  menterinya Jokowi saja gak PD' http://www.pos-metro.com/2015/10/fahri-hamzah-mohon-maaf-ya-menterinya.html …"
50,Riexisme,1,@jokowi @DITJEN_PAS @pakdekarwo1950 Mohon dijadikan atensi#Fredy Budiman jilid II#Save Indonesia From Drugs pic.twitter.com/6i36C9Yed1
51,stalker_bs,0,"pak tolong untk anak sekolah dasar jngn ada pelajaran komputer pak,krn rasa ingin tau anak2 jauh lbh besar"
52,ChinampekMael,0,haha. jadi kau mohon apa? presiden ka? haha
53,noeerhadi,1,"@jokowi @asmanabnur2016 Pakjokowi.pak asman bagaimana nasib honorer K2?Tolong diperjelas,minimal ada PP tentang K2 biar Gak mengambang terus"
54,reneLOVEyou,1,Mohon dpt ditindak tegas juga ya pak masalah oknum aparat hukum d negeri ini pak @jokowi #saveJessica #JessicaBebashttps://twitter.com/jokowi/status/781500434116599808 …
55,jofryhunter,0,"tolong lah cari rumusan atau blue print yg benar utk indonesia pak presiden,jangan tambal sulam terus ganti mentri ganti program...."
56,minang__kocak,1,@jokowi mohon kesejahteraan petani karet di Sumatera & Kalimantan diperhatikan slama 5 tahun ini mereka hidup susah karna harga karet murah.
57,Priyo15,0,Pak @jokowi mohon laman di medsos juga menggunakan kaidah bahasa yg baik dan benar serta baku. sering saya perhatikan tidak ada S-P-O-K.
58,Lilassskickerrr,1,Please @jokowi save Jessica! Bukti sangat tdk kuat.. terlebih kalo memang Jessica terbukti bersalah mengapa tuntutan hny 20 thn? Tolong Pak https://twitter.com/JessicaWongso_/status/783684543798648833 …
59,MohamadFalah11,0,"mohon BPK JKW, ada tindak lanjutnya"
60,ronavioleta,1,Tolong ditemui ya Pak @jokowi sprti kmrn bpk ngundang buzzer2 bpk ke istana. MULIA KAN PETANI sprti yg dulu bpk blg http://www.jawapos.com/read/2017/08/24/152949/tuntut-keadilan-seribu-petani-tebu-cirebon-siap-kepung-istana#.WZ9lLnFB0-w.twitter …
61,AHendraningrat,1,@PTJASAMARGA @RadioElshinta @jokowi tiap hari GT Kalimalang2 JORR macet terhalang truk tdk ada petugas. Mohon ada tindaklanjut
62,Yfais,1,Mohon cek Pak @wiranto1947 @Amran_Sulaiman1 @jokowi @CCICPolri @DivHumasPolri @PolhukamRI Agar tidak jd fitnah yg meresahkan.
63,BerlandGroup,1,Ini akun palsu berbahaya tolong di stop @jokowi @CCICPolri @kemkominfo @Puspen_TNI @DivHumasPolri @BNPTRI @PolhukamRI @Kemhan_RI @nu_onlinepic.twitter.com/dMZ5FXjLld
64,Rizkakarthika,0,"Yg seharusnya menjadi generasi penerus harapan bangsa,  mohon pemerintah ada tindakan tegas,  untuk menyelamatkan nasib mereka,"
65,Kristantua,0,Ibuk Menteri Perikanan dan kelautan Susi Pudjiastuti Mohon tenggelamkan Mereka. http://fb.me/95VqqLk7K 
66,jannet_caliista,0,"@CecepSyam @AlKausar5 @jokowi Tolong jangan Berat sebelah. ALLAH SWT, MAHA DAHSYAT SIKSANYA. #DukungPerpuOrmas"
67,wahbyhanif,0,tolong balas tweet saya ya Pak Menteri Budi :) @BudiKaryaS @hubdat151
68,antikonsultanpr,0,"Pak @CCICPolri mohon orang ini diperiksa, mosok seenaknya blg pak @jokowi bersaing dg napi penista agama..  https://twitter.com/sugi_0706/status/900786038087401472 …"
69,cassanova_city,1,"@jokowi _pak,mohon bantuan mengenai status lahan km d tanjung lesung yg blm prnh ad penyelesaian namun sdh di garap untuk wisata dll"
70,henryg_diver,1,"Pak @jokowi tolong cari solusi utk perempatan Tomang (khusus arah Tangerang -> Harmoni). 
Ga siang, ga malam, pasti antri minim 2km panjang"
71,Aryprasetyo85,0,@Am0k4 INI ADA APEL TOLONG SUMPIN KE MULUT DYA pic.twitter.com/3WN7DNOEWe
72,adit84443456,1,"Pak@jokowi sampai saat ini narkoba masib di salapian,kab langkat,mohon perhatian,sangat memprihatinkan"
73,RexyChristian1,1,"mohon pak @jokowi bisa mengawal ini  krn ini mempertaruhkan kewibawaan negara,moso negara tkt dan tdk berkutik sama ormas?? https://twitter.com/kompascom/status/900581448507244544 …"
74,anggajay402,0,"Benar pak, 
Tapi tolong diperbaiki jalan dikabupaten batubara. Bupatinya gak jelas pak (kajol).
Jalannya pada berlobang pak."
75,anggajay402,0,"Pak dijalan masih banyak anak2 yang tidak tau membaca dan menulis, tolong diterangin pak."
76,AsyrafMamat36,0,"M'sia sudah mohon maaf dan Presiden Jokowi minta isu ini tidak dibesar2kan, rakyat indonesia patut fokus kepada isu2 nasional & ekonomi"
77,RestyCayah,0,Tolong Duit ini jangan sampe ketauan sama @jokowi dan @KemenkeuRI .  bisa2 duit Gereja ini diincer pulapic.twitter.com/71zEOHSHdv
78,barisamudera89,1,@Kemdikbud_RI pak menteri tolong penerbitan NUPTK dipermudah melalui DAPODIK. dan prhatikan nasib GWB SD Negeri
79,SambungLidahM,0,Tolong pak presiden... jajaran anda di daerah kami pejabat bupatinya mungkin buta mata buta hati terhadap desanya... pic.twitter.com/4x91U2R1zH
80,doddyhadiwijaya,0,"FYI Bapak Presiden @jokowi
Rumor sekarang apakah benar RRC telah invasi ke NKRI dengan legal. mohon jaga NASIONALIS NKRI"
81,chrystleakk,0,"tolong pak,,,ingat jga sma orang NTT,,"
82,dionferdian_23,1,Ersa sekarang ia mnjaga mama yg sdang sakit ia jg anak yatim pnya ade 3 prempuan & msih kecil & skarang ia jg sick tolong mereka pak @jokowi
83,dionferdian_23,1,@jokowi tolong kami pak untuk didaerah parungpanjang banyak sekali pengangguran nya @update_pp
84,Baranewsaceh,1,Mohon ditindaklanjuti http://baranewsaceh.co/laporan-keuangan-2015-agara-predikat-opini-wtp-perlu-dikritisi/ … cc @jokowi @KPK_RI @bpkri @BPKPgoid @MaTA_Aceh @sahabatICW @GerakAceh @KemenDesa
85,nelayanbitung,1,"Bu @susipudjiastuti tolong nonton video ini ya, ttg keterpurukan nelayan yg ibu kesampingkan. @jokowi @LuhutBinsar https://drive.google.com/file/d/0B5UqaZDtwZgYcXhMQmhmZEp1SzA/view …"
